,id,Brand,Model_Number,Price,Photo,Engine_Type,Body_Type,Fuel_Type,Gearbox_Type,Power_hp,Displacement_l,Torque_lbft,Cylinders,Drivetrain,MPG_City,MPG_Highway
1359,1359,Chrysler,300 Touring L 2022,36170.0,https://www.ccarprice.com/products/New_Chrysler_300_Touring_L_2023.jpg,3.6-liter V6 Gas,Sedan,Petrol,Automatic,292.0,3.6,260.0,6.0,rear,19.0,30.0
1360,1360,Chrysler,300 Touring 2022,32610.0,https://www.ccarprice.com/products/New_Chrysler_300_Touring_2023.jpg,3.6-liter V6 Gas,Sedan,Petrol,Automatic,292.0,3.6,260.0,6.0,rear,19.0,30.0
1365,1365,Chrysler,300S 2021,37390.0,https://www.ccarprice.com/products/Chrysler_300S_2021.jpg,3.6-liter V6 Gas,Sedan,Petrol,Automatic,300.0,3.6,264.0,6.0,rear,19.0,30.0
1366,1366,Chrysler,300 Touring L AWD 2021,33200.0,https://www.ccarprice.com/products/Chrysler_300_Touring_L_2021_1.jpg,3.6-liter V6 Gas,Sedan,Petrol,Automatic,292.0,3.6,260.0,6.0,all,18.0,27.0
1367,1367,Chrysler,300 Touring L 2021,30450.0,https://www.ccarprice.com/products/Chrysler_300_Touring_L_2021.jpg,3.6-liter V6 Gas,Sedan,Petrol,Automatic,292.0,3.6,260.0,6.0,rear,19.0,30.0
1368,1368,Chrysler,300 Touring AWD 2021,33190.0,https://www.ccarprice.com/products/Chrysler_300_Touring_AWD_2021.jpg,3.6-liter V6 Gas,Sedan,Petrol,Automatic,292.0,3.6,260.0,6.0,all,18.0,27.0
1369,1369,Chrysler,300 Touring 2021,30440.0,https://www.ccarprice.com/products/Chrysler_300_Touring_2021.jpg,3.6-liter V6 Gas,Sedan,Petrol,Automatic,292.0,3.6,260.0,6.0,rear,19.0,30.0
1372,1372,Chrysler,Pacifica Touring L 2021,40000.0,https://www.ccarprice.com/products/Chrysler_Pacifica_Touring_L_2021.jpg,3.6-liter V6 Gas,Van,Petrol,Automatic,287.0,3.6,262.0,6.0,front,19.0,28.0
1373,1373,Chrysler,Voyager LXI 2021,33240.0,https://www.ccarprice.com/products/Chrysler_Voyager_LXI_2021.jpg,3.6-liter V6 Gas,Van,Petrol,Automatic,287.0,3.6,262.0,6.0,front,19.0,28.0
1374,1374,Chrysler,Voyager LX 2021,30040.0,https://www.ccarprice.com/products/Chrysler-Voyager-LX-2021.jpg,3.6-liter V6 Gas,Van,Petrol,Automatic,287.0,3.6,262.0,6.0,front,19.0,28.0
1375,1375,Chrysler,Voyager L 2021,27230.0,https://www.ccarprice.com/products/Chrysler-Voyager-L-2021.jpg,3.6-liter V6 Gas,Van,Petrol,Automatic,287.0,3.6,262.0,6.0,front,19.0,28.0
1380,1380,Aston Martin,Vantage V12 Roadster 2022,158180.0,https://www.ccarprice.com/products/Aston_Martin_Vantage_V12_Roadster_2022.jpg,5.2L,Convertible,Petrol,Automatic,690.0,5.2,542.0,12.0,rear,18.0,24.0
1384,1384,Aston Martin,Vantage Roadster F1 Edition Convertible 2022,179800.0,https://www.ccarprice.com/products/Aston_Martin_Vantage_Roadster_F1_Edition_Convertible_2022.jpg,4.0L Twin-Turbo V8 Gas,Convertible,Petrol,Automatic,527.0,4.0,505.0,8.0,rear,18.0,24.0
1385,1385,Aston Martin,DBS 2023,330600.0,https://www.ccarprice.com/products/Aston_Martin_DBS_2023.jpg,5.2L Twin-Turbo V12 Gas,Coupe,Petrol,Automatic,715.0,5.2,663.0,12.0,rear,14.0,22.0
1390,1390,Aston Martin,Vanquish Manual 2022,285600.0,https://www.ccarprice.com/products/Aston_Martin_DB11_V8_2022.jpg,4.0L Twin-Turbo V8 Gas,Coupe,Petrol,Automatic,503.0,4.0,513.0,8.0,rear,18.0,24.0
